start_event_idx,end_event_idx,start_n,end_n,length_events,max_gap,sum_gap,mean_abs_y,branch_types
4180,4182,1567048,1567531,3,452,485,2.037894,"{0: np.int64(2), 1: np.int64(1)}"
4176,4178,1564672,1567045,3,2369,2607,4.718050666666667,"{0: np.int64(2), 1: np.int64(1)}"
4172,4174,1563490,1564437,3,698,949,2.1827396666666665,"{0: np.int64(2), 1: np.int64(1)}"
4168,4170,1562822,1563487,3,663,723,4.100134333333333,"{0: np.int64(2), 1: np.int64(1)}"
8438,8440,5745764,5746471,3,674,781,2.709448666666667,"{0: np.int64(2), 1: np.int64(1)}"
2288,2290,522448,523623,3,737,1177,2.374319,"{0: np.int64(2), 1: np.int64(1)}"
2292,2294,523770,524761,3,842,1137,2.2452603333333334,"{0: np.int64(2), 1: np.int64(1)}"
2296,2298,525044,525419,3,373,657,3.7166696666666668,"{0: np.int64(2), 1: np.int64(1)}"
2300,2302,525422,527269,3,1294,1849,2.3884976666666664,"{0: np.int64(2), 1: np.int64(1)}"
2304,2306,527702,528577,3,546,1307,2.2824516666666668,"{0: np.int64(2), 1: np.int64(1)}"
9333,9335,8253405,8253882,3,2676,3153,3.713255333333333,"{0: np.int64(2), 1: np.int64(1)}"
4164,4166,1562462,1562763,3,170,349,1.7119326666666668,"{0: np.int64(2), 1: np.int64(1)}"
8290,8292,5688572,5688691,3,117,195,2.9437336666666667,"{0: np.int64(2), 1: np.int64(1)}"
9325,9327,8238797,8242232,3,2037,4193,2.6652226666666667,"{0: np.int64(2), 1: np.int64(1)}"
8294,8296,5688694,5689545,3,509,853,2.2100283333333333,"{0: np.int64(2), 1: np.int64(1)}"
4156,4158,1560560,1562035,3,779,1477,2.2568906666666666,"{0: np.int64(2), 1: np.int64(1)}"
4152,4154,1560382,1560557,3,173,177,3.204478333333333,"{0: np.int64(2), 1: np.int64(1)}"
2284,2286,522304,522445,3,139,170,3.058600333333333,"{0: np.int64(2), 1: np.int64(1)}"
8268,8270,5686998,5687551,3,550,585,3.681388666666667,"{0: np.int64(2), 1: np.int64(1)}"
4260,4262,1593972,1597139,3,2774,3663,2.7978593333333333,"{0: np.int64(2), 1: np.int64(1)}"
4256,4258,1591776,1593475,3,1488,1701,2.4350626666666666,"{0: np.int64(2), 1: np.int64(1)}"
9382,9384,8295958,8296041,3,50,133,1.378389,"{0: np.int64(2), 1: np.int64(1)}"
4252,4254,1586338,1591773,3,5433,5441,5.502448666666666,"{0: np.int64(2), 1: np.int64(1)}"
4248,4250,1585166,1586331,3,1147,2065,3.733146,"{0: np.int64(2), 1: np.int64(1)}"
4244,4246,1581010,1584265,3,2698,3389,2.6334220000000004,"{0: np.int64(2), 1: np.int64(1)}"
4240,4242,1580118,1580875,3,400,921,1.9971546666666666,"{0: np.int64(2), 1: np.int64(1)}"
9369,9371,8294241,8295350,3,1088,2143,4.928477333333333,"{0: np.int64(2), 1: np.int64(1)}"
4230,4232,1578198,1578373,3,724,899,2.9280296666666668,"{0: np.int64(2), 1: np.int64(1)}"
4226,4228,1574872,1577473,3,2168,2807,2.5605203333333333,"{0: np.int64(2), 1: np.int64(1)}"
4222,4224,1573432,1574665,3,619,1271,2.1454050000000002,"{0: np.int64(2), 1: np.int64(1)}"
4198,4200,1570342,1571477,3,1133,1137,4.457367,"{0: np.int64(2), 1: np.int64(1)}"
2186,2188,510576,512169,3,1313,1979,2.9084499999999998,"{0: np.int64(2), 1: np.int64(1)}"
2190,2192,512264,512501,3,234,331,4.114895333333333,"{0: np.int64(2), 1: np.int64(1)}"
2194,2196,512580,512661,3,78,159,3.2750916666666665,"{0: np.int64(2), 1: np.int64(1)}"
2198,2200,512688,512721,3,26,59,1.330155,"{0: np.int64(2), 1: np.int64(1)}"
2202,2204,512728,513265,3,304,543,1.905675666666667,"{0: np.int64(2), 1: np.int64(1)}"
2206,2208,513368,513891,3,519,625,3.705838,"{0: np.int64(2), 1: np.int64(1)}"
2210,2212,513894,514055,3,83,163,1.4936573333333334,"{0: np.int64(2), 1: np.int64(1)}"
2214,2216,514082,514163,3,77,107,2.433772333333333,"{0: np.int64(2), 1: np.int64(1)}"
2218,2220,514166,515967,3,1234,1803,2.3726719999999997,"{0: np.int64(2), 1: np.int64(1)}"
4210,4212,1572316,1573099,3,781,907,4.209334666666667,"{0: np.int64(2), 1: np.int64(1)}"
4206,4208,1571698,1572191,3,372,495,1.9729643333333329,"{0: np.int64(2), 1: np.int64(1)}"
2226,2228,516796,517599,3,727,907,2.94904,"{0: np.int64(2), 1: np.int64(1)}"
4202,4204,1571480,1571695,3,211,217,3.1058073333333334,"{0: np.int64(2), 1: np.int64(1)}"
4214,4216,1573102,1573275,3,171,175,3.196726333333333,"{0: np.int64(2), 1: np.int64(1)}"
2454,2456,554824,554897,3,69,91,2.3606396666666662,"{0: np.int64(2), 1: np.int64(1)}"
2458,2460,554900,555007,3,103,109,2.6277213333333336,"{0: np.int64(2), 1: np.int64(1)}"
8374,8376,5728046,5729153,3,1105,1109,4.4406843333333335,"{0: np.int64(2), 1: np.int64(1)}"
8378,8380,5729156,5729655,3,497,501,3.908011,"{0: np.int64(2), 1: np.int64(1)}"
2468,2470,555112,555151,3,31,41,1.5961776666666667,"{0: np.int64(2), 1: np.int64(1)}"
9273,9275,8196147,8199584,3,2610,3471,2.6223686666666666,"{0: np.int64(2), 1: np.int64(1)}"
8382,8384,5729658,5730793,3,1133,1137,4.457367,"{0: np.int64(2), 1: np.int64(1)}"
4016,4018,1466538,1467577,3,1004,1103,2.706272333333333,"{0: np.int64(2), 1: np.int64(1)}"
8386,8388,5730796,5731519,3,719,725,3.9231426666666667,"{0: np.int64(2), 1: np.int64(1)}"
8390,8392,5731522,5731577,3,53,57,2.4158123333333332,"{0: np.int64(2), 1: np.int64(1)}"
8394,8396,5731580,5738087,3,6505,6509,5.622501666666667,"{0: np.int64(2), 1: np.int64(1)}"
4002,4004,1465968,1466153,3,107,187,1.6629829999999999,"{0: np.int64(2), 1: np.int64(1)}"
4148,4150,1559734,1560379,3,641,647,3.846588,"{0: np.int64(2), 1: np.int64(1)}"
3994,3996,1465676,1465851,3,173,177,3.204478333333333,"{0: np.int64(2), 1: np.int64(1)}"
2512,2514,558832,558913,3,73,95,2.1671590000000003,"{0: np.int64(2), 1: np.int64(1)}"
8398,8400,5738090,5738645,3,528,557,2.0896986666666666,"{0: np.int64(2), 1: np.int64(1)}"
3984,3986,1462862,1463298,3,333,440,1.9360476666666668,{0: np.int64(3)}
2527,2529,559239,559262,3,21,25,1.7986323333333332,"{0: np.int64(2), 1: np.int64(1)}"
2531,2533,559265,559551,3,239,288,1.8254876666666666,{0: np.int64(3)}
8412,8414,5739018,5739157,3,106,173,1.574382,"{0: np.int64(2), 1: np.int64(1)}"
8416,8418,5739194,5739331,3,119,173,2.2226253333333332,"{0: np.int64(2), 1: np.int64(1)}"
8420,8422,5739338,5740035,3,443,703,2.2166016666666666,"{0: np.int64(2), 1: np.int64(1)}"
3962,3964,1460408,1460513,3,103,131,2.8587703333333336,"{0: np.int64(2), 1: np.int64(1)}"
8424,8426,5740122,5740551,3,417,515,3.1937553333333333,"{0: np.int64(2), 1: np.int64(1)}"
8428,8430,5740556,5740659,3,84,107,1.476939,"{0: np.int64(2), 1: np.int64(1)}"
2556,2558,561458,561475,3,15,21,1.5743176666666667,"{0: np.int64(2), 1: np.int64(1)}"
3998,4000,1465854,1465965,3,109,113,2.896516333333333,"{0: np.int64(2), 1: np.int64(1)}"
4144,4146,1557108,1559731,3,2619,3461,4.784933666666666,"{0: np.int64(2), 1: np.int64(1)}"
2340,2342,534000,534549,3,324,873,2.018718666666667,"{0: np.int64(2), 1: np.int64(1)}"
4115,4117,1514239,1515399,3,731,1196,2.3757903333333332,{0: np.int64(3)}
9309,9311,8233769,8234186,3,368,785,2.72119,"{0: np.int64(2), 1: np.int64(1)}"
2348,2350,534864,536235,3,849,1429,2.4101503333333336,"{0: np.int64(2), 1: np.int64(1)}"
2360,2362,537188,537257,3,76,145,1.962959,"{0: np.int64(2), 1: np.int64(1)}"
2364,2366,537264,541381,3,2853,4123,2.923405333333333,"{0: np.int64(2), 1: np.int64(1)}"
2371,2373,541859,542380,3,440,535,2.0289249999999996,"{0: np.int64(2), 1: np.int64(1)}"
4086,4088,1505128,1505221,3,91,103,2.7761903333333335,"{0: np.int64(2), 1: np.int64(1)}"
8328,8330,5706610,5706773,3,159,165,2.9171713333333336,"{0: np.int64(2), 1: np.int64(1)}"
8332,8334,5706776,5711301,3,3034,4527,2.6725456666666663,"{0: np.int64(2), 1: np.int64(1)}"
8340,8342,5713018,5713121,3,176,279,3.21594,"{0: np.int64(2), 1: np.int64(1)}"
8370,8372,5724754,5728043,3,3287,3291,5.167437666666667,"{0: np.int64(2), 1: np.int64(1)}"
8350,8352,5717206,5717819,3,417,615,2.262686,"{0: np.int64(2), 1: np.int64(1)}"
8354,8356,5717886,5718227,3,211,407,1.945394,"{0: np.int64(2), 1: np.int64(1)}"
2404,2406,550760,551323,3,559,653,3.755335,"{0: np.int64(2), 1: np.int64(1)}"
8358,8360,5718272,5718303,3,44,75,2.2848710000000003,"{0: np.int64(2), 1: np.int64(1)}"
8362,8364,5718312,5721037,3,2723,2733,5.041944,"{0: np.int64(2), 1: np.int64(1)}"
8366,8368,5721040,5724751,3,3709,3713,5.247962333333334,"{0: np.int64(2), 1: np.int64(1)}"
2426,2428,553022,553773,3,749,793,4.181443666666667,"{0: np.int64(2), 1: np.int64(1)}"
2430,2432,553776,553891,3,58,117,1.3534810000000002,"{0: np.int64(2), 1: np.int64(1)}"
2434,2436,553912,553995,3,81,103,2.6985836666666665,"{0: np.int64(2), 1: np.int64(1)}"
2438,2440,553998,554067,3,65,71,2.3208266666666666,"{0: np.int64(2), 1: np.int64(1)}"
2442,2444,554070,554153,3,81,85,2.6985836666666665,"{0: np.int64(2), 1: np.int64(1)}"
2446,2448,554156,554707,3,429,553,2.439631,"{0: np.int64(2), 1: np.int64(1)}"
4030,4032,1468418,1470375,3,1771,2208,3.244284333333333,"{0: np.int64(2), 1: np.int64(1)}"
9289,9291,8221863,8226530,3,2824,7067,2.824686,"{0: np.int64(2), 1: np.int64(1)}"
270,272,13762,14115,3,234,405,1.8184406666666666,"{0: np.int64(2), 1: np.int64(1)}"
7254,7256,5092720,5092951,3,229,233,3.391432333333333,"{0: np.int64(2), 1: np.int64(1)}"
7258,7260,5092954,5092981,3,23,29,1.6282313333333331,"{0: np.int64(2), 1: np.int64(1)}"
7262,7264,5092984,5093195,3,209,213,3.3305070000000003,"{0: np.int64(2), 1: np.int64(1)}"
7266,7268,5093198,5093435,3,233,239,3.171927333333333,"{0: np.int64(2), 1: np.int64(1)}"
7270,7272,5093438,5093501,3,61,65,2.5095336666666666,"{0: np.int64(2), 1: np.int64(1)}"
5645,5647,2949569,2963026,3,7247,13789,3.0142566666666664,"{0: np.int64(2), 1: np.int64(1)}"
10283,10285,9657649,9659084,3,1025,1437,2.6162463333333332,"{0: np.int64(2), 1: np.int64(1)}"
7274,7276,5093504,5093825,3,317,323,3.377169666666667,"{0: np.int64(2), 1: np.int64(1)}"
191,193,7215,7566,3,274,491,2.269600666666667,"{0: np.int64(2), 1: np.int64(1)}"
7278,7280,5093828,5096905,3,2244,3079,2.572005,"{0: np.int64(2), 1: np.int64(1)}"
5637,5639,2943327,2947240,3,2992,4281,2.6678990000000002,"{0: np.int64(2), 1: np.int64(1)}"
5633,5635,2939855,2942958,3,2003,4573,2.7339126666666664,"{0: np.int64(2), 1: np.int64(1)}"
7282,7284,5097654,5101107,3,3444,4201,5.661581666666667,"{0: np.int64(2), 1: np.int64(1)}"
7286,7288,5102256,5103871,3,1613,2763,4.692851999999999,"{0: np.int64(2), 1: np.int64(1)}"
6212,6214,3419984,3422317,3,2752,5085,5.973778666666667,"{0: np.int64(2), 1: np.int64(1)}"
7290,7292,5103874,5104217,3,190,345,1.749008,"{0: np.int64(2), 1: np.int64(1)}"
839,841,81477,83050,3,1566,1587,2.9141913333333336,"{0: np.int64(2), 1: np.int64(1)}"
7298,7300,5104338,5105589,3,872,1265,2.2569296666666667,"{0: np.int64(2), 1: np.int64(1)}"
7302,7304,5105882,5107211,3,675,1621,2.1821059999999997,"{0: np.int64(2), 1: np.int64(1)}"
797,799,76637,77244,3,499,633,2.5810273333333336,"{0: np.int64(2), 1: np.int64(1)}"
716,718,56132,56169,3,35,39,2.1391830000000005,"{0: np.int64(2), 1: np.int64(1)}"
720,722,56172,56201,3,27,31,1.9661756666666665,"{0: np.int64(2), 1: np.int64(1)}"
724,726,56204,56517,3,309,315,3.360129333333333,"{0: np.int64(2), 1: np.int64(1)}"
728,730,56520,56829,3,307,311,3.5868496666666663,"{0: np.int64(2), 1: np.int64(1)}"
5717,5719,3030711,3033386,3,2429,2677,3.361712666666667,"{0: np.int64(2), 1: np.int64(1)}"
5713,5715,3030363,3030708,3,343,347,3.660771,"{0: np.int64(2), 1: np.int64(1)}"
5709,5711,3027397,3030360,3,2961,2965,5.097805666666667,"{0: np.int64(2), 1: np.int64(1)}"
5705,5707,3026221,3027394,3,1169,1281,4.247171333333333,"{0: np.int64(2), 1: np.int64(1)}"
5701,5703,3025681,3026112,3,322,603,2.2289483333333333,"{0: np.int64(2), 1: np.int64(1)}"
6958,6960,4935258,4958965,3,23364,29473,5.2343193333333335,"{0: np.int64(2), 1: np.int64(1)}"
5693,5695,3021435,3024748,3,3311,3315,5.172287666666667,"{0: np.int64(2), 1: np.int64(1)}"
5689,5691,3020099,3021432,3,1329,1401,4.33269,"{0: np.int64(2), 1: np.int64(1)}"
5680,5682,3014120,3015309,3,802,1265,2.2290360000000002,"{0: np.int64(2), 1: np.int64(1)}"
7234,7236,5090022,5090085,3,61,65,2.5095336666666666,"{0: np.int64(2), 1: np.int64(1)}"
7238,7240,5090088,5091409,3,1319,1323,4.558703666666667,"{0: np.int64(2), 1: np.int64(1)}"
10757,10759,9934407,9943165,3,8527,9314,3.6025646666666673,{0: np.int64(3)}
10312,10314,9669040,9669751,3,1334,2045,3.308602,"{0: np.int64(2), 1: np.int64(1)}"
7242,7244,5091412,5092255,3,841,845,4.258678333333333,"{0: np.int64(2), 1: np.int64(1)}"
