event_idx,n,a_n,prev_event_n,gap,prev_gap,branch_type,sigma_hat,x,y,z,n_wedge_area,n_wedge_signed,n_wedge_l1,n_cross0,n_cross1,n_cross2,a_n_wedge_area,a_n_wedge_signed,a_n_wedge_l1,a_n_cross0,a_n_cross1,a_n_cross2,gap_wedge_area,gap_wedge_signed,gap_wedge_l1,gap_cross0,gap_cross1,gap_cross2,demand_coord,n_signed_roll16,n_area_roll16,a_n_signed_roll16,a_n_area_roll16,gap_signed_roll16,gap_area_roll16
8748,6450463,24422128,6450462,1,2760,1,1,0.693147,-7.922986,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,16.522711641858304,-13.0,21.0,-1.0,4.0,-16.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.875,1.9727857857279256,-3.375,5.063341193111636,-0.9375,1.1247993285830584
8749,6451383,11519822,6450463,920,1,0,-1,6.82546,6.824374,-1.0,2.23606797749979,1.0,3.0,-1.0,0.0,2.0,11.532562594670797,-7.0,19.0,-9.0,6.0,-4.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1,-0.75,2.0500400343216625,-3.5625,5.534126355278561,-0.9375,1.213187676231377
8750,6451384,5068438,6451383,1,920,0,-1,0.693147,-6.824374,-1.0,1.4142135623730951,0.0,2.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.6875,2.075928381969981,-3.5625,5.534126355278561,-0.9375,1.213187676231377
8751,6460354,17984661,6451384,8970,1,1,1,9.101752,9.101641,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,4.0,-4.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.75,2.0500400343216625,-3.5,5.156009128958505,-0.875,1.150687676231377
8752,6460355,24445016,6460354,1,8970,1,1,0.693147,-9.101641,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.4142135623730951,0.0,2.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.6875,1.8330315371341888,-3.375,5.119397476606824,-0.875,1.150687676231377
8753,6463345,11519821,6460355,2990,1,0,-1,8.003363,8.003029,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.522711641858304,-13.0,21.0,-16.0,4.0,-1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1,-0.625,1.724778361661134,-4.1875,6.0636786065746495,-0.8125,1.1765760238796952
8754,6463346,5056475,6463345,1,2990,0,-1,0.693147,-8.003029,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5625,1.6165251861880792,-4.125,6.0011786065746495,-0.8125,1.1765760238796952
8755,6463448,17983320,6463346,102,1,1,1,4.634729,4.624973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,0.0,2.0,0.0,-1.0,1.0,1.4142135623730951,0.0,2.0,0.0,1.0,-1.0,1,-0.5625,1.2629717955948054,-4.0,5.93647384529902,-0.75,1.2024643715280137
8756,6463449,24446769,6463448,1,102,1,1,0.693147,-4.624973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,1.2004717955948054,-3.8125,5.74897384529902,-0.75,1.2024643715280137
8757,6463450,30910219,6463449,1,1,1,1,0.693147,0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,2.23606797749979,-1.0,3.0,-2.0,0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,1.2004717955948054,-3.4375,5.2925160930071655,-0.75,1.2024643715280137
8758,6463554,17983163,6463450,104,1,0,-1,4.65396,4.644391,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.656854249492381,0.0,8.0,-4.0,0.0,4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.4375,1.0922186201217505,-3.4375,5.557681135952121,-0.75,1.2024643715280137
8759,6463555,11519608,6463554,1,104,0,-1,0.693147,-4.644391,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,9.0,-9.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.25,0.8058076391870107,-3.9375,6.057681135952121,-0.625,0.9785533905932737
